"SITE","site_type","SITE_label","year","substrate_group","count"
"Coral Cascade","NS","Coral Cascade (NS)",2019,"NL",59
"Coral Cascade","NS","Coral Cascade (NS)",2019,"OT",4
"Coral Cascade","NS","Coral Cascade (NS)",2019,"RKC",1
"Coral Cascade","NS","Coral Cascade (NS)",2019,"SC",6
"Coral Cascade","NS","Coral Cascade (NS)",2020,"HC",96
"Coral Cascade","NS","Coral Cascade (NS)",2020,"NIA",3
"Coral Cascade","NS","Coral Cascade (NS)",2020,"NL",52
"Coral Cascade","NS","Coral Cascade (NS)",2020,"SC",9
"Coral Cascade","NS","Coral Cascade (NS)",2021,"HC",107
"Coral Cascade","NS","Coral Cascade (NS)",2021,"NL",38
"Coral Cascade","NS","Coral Cascade (NS)",2021,"OT",10
"Coral Cascade","NS","Coral Cascade (NS)",2021,"SC",5
"Coral Cascade","NS","Coral Cascade (NS)",2022,"HC",89
"Coral Cascade","NS","Coral Cascade (NS)",2022,"HCB",1
"Coral Cascade","NS","Coral Cascade (NS)",2022,"NL",61
"Coral Cascade","NS","Coral Cascade (NS)",2022,"OT",4
"Coral Cascade","NS","Coral Cascade (NS)",2022,"SC",5
"Coral Cascade","NS","Coral Cascade (NS)",2023,"HC",127
"Coral Cascade","NS","Coral Cascade (NS)",2023,"NL",31
"Coral Cascade","NS","Coral Cascade (NS)",2023,"SC",2
"Coral Cascade","NS","Coral Cascade (NS)",2024,"HC",47
"Coral Cascade","NS","Coral Cascade (NS)",2024,"NIA",4
"Coral Cascade","NS","Coral Cascade (NS)",2024,"NL",97
"Coral Cascade","NS","Coral Cascade (NS)",2024,"OT",8
"Coral Cascade","NS","Coral Cascade (NS)",2024,"RKC",1
"Coral Cascade","NS","Coral Cascade (NS)",2024,"SC",3
"Coral Grotto","NS","Coral Grotto (NS)",2013,"HC",46
"Coral Grotto","NS","Coral Grotto (NS)",2013,"NIA",1
"Coral Grotto","NS","Coral Grotto (NS)",2013,"NL",105
"Coral Grotto","NS","Coral Grotto (NS)",2013,"OT",2
"Coral Grotto","NS","Coral Grotto (NS)",2013,"SC",4
"Coral Grotto","NS","Coral Grotto (NS)",2013,"SP",2
"Coral Grotto","NS","Coral Grotto (NS)",2014,"HC",54
"Coral Grotto","NS","Coral Grotto (NS)",2014,"NIA",1
"Coral Grotto","NS","Coral Grotto (NS)",2014,"NL",100
"Coral Grotto","NS","Coral Grotto (NS)",2014,"SC",4
"Coral Grotto","NS","Coral Grotto (NS)",2014,"SP",1
"Coral Grotto","NS","Coral Grotto (NS)",2015,"HC",69
"Coral Grotto","NS","Coral Grotto (NS)",2015,"NL",88
"Coral Grotto","NS","Coral Grotto (NS)",2015,"SC",3
"Coral Grotto","NS","Coral Grotto (NS)",2016,"HC",96
"Coral Grotto","NS","Coral Grotto (NS)",2016,"NIA",8
"Coral Grotto","NS","Coral Grotto (NS)",2016,"NL",52
"Coral Grotto","NS","Coral Grotto (NS)",2016,"SC",4
"Coral Grotto","NS","Coral Grotto (NS)",2017,"HC",75
"Coral Grotto","NS","Coral Grotto (NS)",2017,"NL",71
"Coral Grotto","NS","Coral Grotto (NS)",2017,"SC",13
"Coral Grotto","NS","Coral Grotto (NS)",2017,"SP",1
"Coral Grotto","NS","Coral Grotto (NS)",2018,"HC",95
"Coral Grotto","NS","Coral Grotto (NS)",2018,"NL",59
"Coral Grotto","NS","Coral Grotto (NS)",2018,"OT",2
"Coral Grotto","NS","Coral Grotto (NS)",2018,"SC",4
"Coral Grotto","NS","Coral Grotto (NS)",2020,"HC",97
"Coral Grotto","NS","Coral Grotto (NS)",2020,"NL",52
"Coral Grotto","NS","Coral Grotto (NS)",2020,"OT",2
"Coral Grotto","NS","Coral Grotto (NS)",2020,"SC",9
"Coral Grotto","NS","Coral Grotto (NS)",2021,"HC",110
"Coral Grotto","NS","Coral Grotto (NS)",2021,"NL",46
"Coral Grotto","NS","Coral Grotto (NS)",2021,"RKC",1
"Coral Grotto","NS","Coral Grotto (NS)",2021,"SC",3
"Coral Grotto","NS","Coral Grotto (NS)",2022,"HC",107
"Coral Grotto","NS","Coral Grotto (NS)",2022,"NL",44
"Coral Grotto","NS","Coral Grotto (NS)",2022,"OT",2
"Coral Grotto","NS","Coral Grotto (NS)",2022,"SC",6
"Coral Grotto","NS","Coral Grotto (NS)",2022,"SP",1
"Coral Grotto","NS","Coral Grotto (NS)",2023,"HC",99
"Coral Grotto","NS","Coral Grotto (NS)",2023,"NL",55
"Coral Grotto","NS","Coral Grotto (NS)",2023,"NR",1
"Coral Grotto","NS","Coral Grotto (NS)",2023,"OT",2
"Coral Grotto","NS","Coral Grotto (NS)",2023,"SC",3
"Coral Grotto","NS","Coral Grotto (NS)",2024,"HC",42
"Coral Grotto","NS","Coral Grotto (NS)",2024,"HCB",1
"Coral Grotto","NS","Coral Grotto (NS)",2024,"NIA",2
"Coral Grotto","NS","Coral Grotto (NS)",2024,"NL",109
"Coral Grotto","NS","Coral Grotto (NS)",2024,"RKC",2
"Coral Grotto","NS","Coral Grotto (NS)",2024,"SC",4
"Libby's Lair","NS","Libby's Lair (NS)",2013,"HC",76
"Libby's Lair","NS","Libby's Lair (NS)",2013,"HCB",2
"Libby's Lair","NS","Libby's Lair (NS)",2013,"NL",61
"Libby's Lair","NS","Libby's Lair (NS)",2013,"OT",1
"Libby's Lair","NS","Libby's Lair (NS)",2013,"SC",15
"Libby's Lair","NS","Libby's Lair (NS)",2013,"SP",5
"Libby's Lair","NS","Libby's Lair (NS)",2014,"HC",163
"Libby's Lair","NS","Libby's Lair (NS)",2014,"HCB",4
"Libby's Lair","NS","Libby's Lair (NS)",2014,"NIA",1
"Libby's Lair","NS","Libby's Lair (NS)",2014,"NL",128
"Libby's Lair","NS","Libby's Lair (NS)",2014,"OT",2
"Libby's Lair","NS","Libby's Lair (NS)",2014,"SC",14
"Libby's Lair","NS","Libby's Lair (NS)",2014,"SP",8
"Libby's Lair","NS","Libby's Lair (NS)",2015,"HC",83
"Libby's Lair","NS","Libby's Lair (NS)",2015,"HCB",1
"Libby's Lair","NS","Libby's Lair (NS)",2015,"NL",66
"Libby's Lair","NS","Libby's Lair (NS)",2015,"OT",1
"Libby's Lair","NS","Libby's Lair (NS)",2015,"RKC",2
"Libby's Lair","NS","Libby's Lair (NS)",2015,"SC",7
"Libby's Lair","NS","Libby's Lair (NS)",2016,"HC",96
"Libby's Lair","NS","Libby's Lair (NS)",2016,"HCB",2
"Libby's Lair","NS","Libby's Lair (NS)",2016,"NIA",1
"Libby's Lair","NS","Libby's Lair (NS)",2016,"NL",47
"Libby's Lair","NS","Libby's Lair (NS)",2016,"OT",8
"Libby's Lair","NS","Libby's Lair (NS)",2016,"SC",6
"Libby's Lair","NS","Libby's Lair (NS)",2017,"HC",89
"Libby's Lair","NS","Libby's Lair (NS)",2017,"HCB",14
"Libby's Lair","NS","Libby's Lair (NS)",2017,"NL",48
"Libby's Lair","NS","Libby's Lair (NS)",2017,"OT",1
"Libby's Lair","NS","Libby's Lair (NS)",2017,"RKC",3
"Libby's Lair","NS","Libby's Lair (NS)",2017,"SC",5
"Libby's Lair","NS","Libby's Lair (NS)",2018,"HC",100
"Libby's Lair","NS","Libby's Lair (NS)",2018,"HCB",1
"Libby's Lair","NS","Libby's Lair (NS)",2018,"NL",45
"Libby's Lair","NS","Libby's Lair (NS)",2018,"OT",1
"Libby's Lair","NS","Libby's Lair (NS)",2018,"SC",13
"Libby's Lair","NS","Libby's Lair (NS)",2019,"HC",118
"Libby's Lair","NS","Libby's Lair (NS)",2019,"HCB",6
"Libby's Lair","NS","Libby's Lair (NS)",2019,"NL",29
"Libby's Lair","NS","Libby's Lair (NS)",2019,"OT",1
"Libby's Lair","NS","Libby's Lair (NS)",2019,"SC",6
"Libby's Lair","NS","Libby's Lair (NS)",2020,"HC",115
"Libby's Lair","NS","Libby's Lair (NS)",2020,"NL",39
"Libby's Lair","NS","Libby's Lair (NS)",2020,"SC",6
"Libby's Lair","NS","Libby's Lair (NS)",2021,"HC",121
"Libby's Lair","NS","Libby's Lair (NS)",2021,"NL",34
"Libby's Lair","NS","Libby's Lair (NS)",2021,"OT",1
"Libby's Lair","NS","Libby's Lair (NS)",2021,"SC",3
"Libby's Lair","NS","Libby's Lair (NS)",2021,"SP",1
"Libby's Lair","NS","Libby's Lair (NS)",2022,"HC",111
"Libby's Lair","NS","Libby's Lair (NS)",2022,"NL",42
"Libby's Lair","NS","Libby's Lair (NS)",2022,"SC",7
"Libby's Lair","NS","Libby's Lair (NS)",2023,"HC",119
"Libby's Lair","NS","Libby's Lair (NS)",2023,"NL",39
"Libby's Lair","NS","Libby's Lair (NS)",2023,"OT",1
"Libby's Lair","NS","Libby's Lair (NS)",2023,"SC",1
"Libby's Lair","NS","Libby's Lair (NS)",2024,"HC",40
"Libby's Lair","NS","Libby's Lair (NS)",2024,"NIA",6
"Libby's Lair","NS","Libby's Lair (NS)",2024,"NL",105
"Libby's Lair","NS","Libby's Lair (NS)",2024,"OT",2
"Libby's Lair","NS","Libby's Lair (NS)",2024,"RKC",1
"Libby's Lair","NS","Libby's Lair (NS)",2024,"SC",6
"Canyons","SS","Canyons (SS)",2013,"HC",111
"Canyons","SS","Canyons (SS)",2013,"HCB",1
"Canyons","SS","Canyons (SS)",2013,"NL",46
"Canyons","SS","Canyons (SS)",2013,"SC",2
"Canyons","SS","Canyons (SS)",2014,"HC",100
"Canyons","SS","Canyons (SS)",2014,"NL",56
"Canyons","SS","Canyons (SS)",2014,"RKC",3
"Canyons","SS","Canyons (SS)",2014,"SC",1
"Canyons","SS","Canyons (SS)",2015,"HC",101
"Canyons","SS","Canyons (SS)",2015,"NL",59
"Canyons","SS","Canyons (SS)",2016,"HC",127
"Canyons","SS","Canyons (SS)",2016,"HCB",6
"Canyons","SS","Canyons (SS)",2016,"NL",27
"Canyons","SS","Canyons (SS)",2017,"HC",97
"Canyons","SS","Canyons (SS)",2017,"NL",59
"Canyons","SS","Canyons (SS)",2017,"RKC",1
"Canyons","SS","Canyons (SS)",2017,"SC",2
"Canyons","SS","Canyons (SS)",2017,"SP",1
"Canyons","SS","Canyons (SS)",2018,"HC",108
"Canyons","SS","Canyons (SS)",2018,"HCB",2
"Canyons","SS","Canyons (SS)",2018,"NL",50
"Canyons","SS","Canyons (SS)",2019,"HC",108
"Canyons","SS","Canyons (SS)",2019,"NL",51
"Canyons","SS","Canyons (SS)",2019,"OT",1
"Canyons","SS","Canyons (SS)",2020,"HC",122
"Canyons","SS","Canyons (SS)",2020,"NL",36
"Canyons","SS","Canyons (SS)",2020,"RKC",2
"Canyons","SS","Canyons (SS)",2021,"HC",117
"Canyons","SS","Canyons (SS)",2021,"NIA",1
"Canyons","SS","Canyons (SS)",2021,"NL",40
"Canyons","SS","Canyons (SS)",2021,"RKC",2
"Canyons","SS","Canyons (SS)",2022,"HC",115
"Canyons","SS","Canyons (SS)",2022,"NL",45
"Canyons","SS","Canyons (SS)",2023,"HC",100
"Canyons","SS","Canyons (SS)",2023,"HCB",2
"Canyons","SS","Canyons (SS)",2023,"NIA",1
"Canyons","SS","Canyons (SS)",2023,"NL",56
"Canyons","SS","Canyons (SS)",2023,"SC",1
"Canyons","SS","Canyons (SS)",2024,"HC",81
"Canyons","SS","Canyons (SS)",2024,"HCB",2
"Canyons","SS","Canyons (SS)",2024,"NL",77
"Half Way","SS","Half Way (SS)",2014,"HC",50
"Half Way","SS","Half Way (SS)",2014,"HCB",2
"Half Way","SS","Half Way (SS)",2014,"NIA",1
"Half Way","SS","Half Way (SS)",2014,"NL",98
"Half Way","SS","Half Way (SS)",2014,"RKC",1
"Half Way","SS","Half Way (SS)",2014,"SC",8
"Half Way","SS","Half Way (SS)",2015,"HC",49
"Half Way","SS","Half Way (SS)",2015,"NL",104
"Half Way","SS","Half Way (SS)",2015,"SC",5
"Half Way","SS","Half Way (SS)",2015,"SP",2
"Half Way","SS","Half Way (SS)",2016,"HC",27
"Half Way","SS","Half Way (SS)",2016,"HCB",2
"Half Way","SS","Half Way (SS)",2016,"NIA",1
"Half Way","SS","Half Way (SS)",2016,"NL",115
"Half Way","SS","Half Way (SS)",2016,"SC",8
"Half Way","SS","Half Way (SS)",2016,"SP",7
"Half Way","SS","Half Way (SS)",2017,"HC",29
"Half Way","SS","Half Way (SS)",2017,"HCB",3
"Half Way","SS","Half Way (SS)",2017,"NL",117
"Half Way","SS","Half Way (SS)",2017,"RKC",1
"Half Way","SS","Half Way (SS)",2017,"SC",9
"Half Way","SS","Half Way (SS)",2017,"SP",1
"Half Way","SS","Half Way (SS)",2020,"HC",42
"Half Way","SS","Half Way (SS)",2020,"NL",104
"Half Way","SS","Half Way (SS)",2020,"SC",12
"Half Way","SS","Half Way (SS)",2020,"SP",2
"Half Way","SS","Half Way (SS)",2021,"HC",48
"Half Way","SS","Half Way (SS)",2021,"NIA",7
"Half Way","SS","Half Way (SS)",2021,"NL",96
"Half Way","SS","Half Way (SS)",2021,"SC",9
"Half Way","SS","Half Way (SS)",2022,"HC",39
"Half Way","SS","Half Way (SS)",2022,"NL",114
"Half Way","SS","Half Way (SS)",2022,"SC",7
"Half Way","SS","Half Way (SS)",2023,"HC",74
"Half Way","SS","Half Way (SS)",2023,"NL",86
"Half Way","SS","Half Way (SS)",2024,"HC",26
"Half Way","SS","Half Way (SS)",2024,"NIA",12
"Half Way","SS","Half Way (SS)",2024,"NL",118
"Half Way","SS","Half Way (SS)",2024,"RKC",2
"Half Way","SS","Half Way (SS)",2024,"SC",2
"Harry's Bommie","SS","Harry's Bommie (SS)",2013,"HC",101
"Harry's Bommie","SS","Harry's Bommie (SS)",2013,"NL",53
"Harry's Bommie","SS","Harry's Bommie (SS)",2013,"RKC",2
"Harry's Bommie","SS","Harry's Bommie (SS)",2013,"SC",3
"Harry's Bommie","SS","Harry's Bommie (SS)",2013,"SP",1
"Harry's Bommie","SS","Harry's Bommie (SS)",2014,"HC",117
"Harry's Bommie","SS","Harry's Bommie (SS)",2014,"HCB",1
"Harry's Bommie","SS","Harry's Bommie (SS)",2014,"NIA",1
"Harry's Bommie","SS","Harry's Bommie (SS)",2014,"NL",35
"Harry's Bommie","SS","Harry's Bommie (SS)",2014,"RKC",3
"Harry's Bommie","SS","Harry's Bommie (SS)",2014,"SC",3
"Harry's Bommie","SS","Harry's Bommie (SS)",2015,"HC",98
"Harry's Bommie","SS","Harry's Bommie (SS)",2015,"HCB",2
"Harry's Bommie","SS","Harry's Bommie (SS)",2015,"NL",60
"Harry's Bommie","SS","Harry's Bommie (SS)",2016,"HC",134
"Harry's Bommie","SS","Harry's Bommie (SS)",2016,"HCB",4
"Harry's Bommie","SS","Harry's Bommie (SS)",2016,"NL",21
"Harry's Bommie","SS","Harry's Bommie (SS)",2016,"SC",1
"Harry's Bommie","SS","Harry's Bommie (SS)",2017,"HC",84
"Harry's Bommie","SS","Harry's Bommie (SS)",2017,"HCB",3
"Harry's Bommie","SS","Harry's Bommie (SS)",2017,"NL",58
"Harry's Bommie","SS","Harry's Bommie (SS)",2017,"OT",1
"Harry's Bommie","SS","Harry's Bommie (SS)",2017,"RKC",7
"Harry's Bommie","SS","Harry's Bommie (SS)",2017,"SC",5
"Harry's Bommie","SS","Harry's Bommie (SS)",2017,"SP",2
"Harry's Bommie","SS","Harry's Bommie (SS)",2018,"HC",117
"Harry's Bommie","SS","Harry's Bommie (SS)",2018,"HCB",3
"Harry's Bommie","SS","Harry's Bommie (SS)",2018,"NL",40
"Harry's Bommie","SS","Harry's Bommie (SS)",2019,"HC",105
"Harry's Bommie","SS","Harry's Bommie (SS)",2019,"HCB",5
"Harry's Bommie","SS","Harry's Bommie (SS)",2019,"NL",41
"Harry's Bommie","SS","Harry's Bommie (SS)",2019,"RKC",1
"Harry's Bommie","SS","Harry's Bommie (SS)",2019,"SC",8
"Harry's Bommie","SS","Harry's Bommie (SS)",2020,"HC",104
"Harry's Bommie","SS","Harry's Bommie (SS)",2020,"HCB",1
"Harry's Bommie","SS","Harry's Bommie (SS)",2020,"NL",53
"Harry's Bommie","SS","Harry's Bommie (SS)",2020,"SC",2
"Harry's Bommie","SS","Harry's Bommie (SS)",2021,"HC",101
"Harry's Bommie","SS","Harry's Bommie (SS)",2021,"NIA",1
"Harry's Bommie","SS","Harry's Bommie (SS)",2021,"NL",56
"Harry's Bommie","SS","Harry's Bommie (SS)",2021,"SC",2
"Harry's Bommie","SS","Harry's Bommie (SS)",2022,"HC",119
"Harry's Bommie","SS","Harry's Bommie (SS)",2022,"NL",38
"Harry's Bommie","SS","Harry's Bommie (SS)",2022,"OT",1
"Harry's Bommie","SS","Harry's Bommie (SS)",2022,"RKC",1
"Harry's Bommie","SS","Harry's Bommie (SS)",2022,"SC",1
"Harry's Bommie","SS","Harry's Bommie (SS)",2023,"HC",108
"Harry's Bommie","SS","Harry's Bommie (SS)",2023,"HCB",1
"Harry's Bommie","SS","Harry's Bommie (SS)",2023,"NL",46
"Harry's Bommie","SS","Harry's Bommie (SS)",2023,"SC",2
"Harry's Bommie","SS","Harry's Bommie (SS)",2023,"SP",3
"Harry's Bommie","SS","Harry's Bommie (SS)",2024,"HC",17
"Harry's Bommie","SS","Harry's Bommie (SS)",2024,"HCB",42
"Harry's Bommie","SS","Harry's Bommie (SS)",2024,"NIA",3
"Harry's Bommie","SS","Harry's Bommie (SS)",2024,"NL",75
"Harry's Bommie","SS","Harry's Bommie (SS)",2024,"RKC",15
"Harry's Bommie","SS","Harry's Bommie (SS)",2024,"SC",8
"Heron Bommie","SS","Heron Bommie (SS)",2013,"HC",96
"Heron Bommie","SS","Heron Bommie (SS)",2013,"HCB",10
"Heron Bommie","SS","Heron Bommie (SS)",2013,"NL",45
"Heron Bommie","SS","Heron Bommie (SS)",2013,"RKC",5
"Heron Bommie","SS","Heron Bommie (SS)",2013,"SC",4
"Heron Bommie","SS","Heron Bommie (SS)",2014,"HC",114
"Heron Bommie","SS","Heron Bommie (SS)",2014,"HCB",8
"Heron Bommie","SS","Heron Bommie (SS)",2014,"NIA",6
"Heron Bommie","SS","Heron Bommie (SS)",2014,"NL",24
"Heron Bommie","SS","Heron Bommie (SS)",2014,"OT",1
"Heron Bommie","SS","Heron Bommie (SS)",2014,"RKC",3
"Heron Bommie","SS","Heron Bommie (SS)",2014,"SC",4
"Heron Bommie","SS","Heron Bommie (SS)",2015,"HC",103
"Heron Bommie","SS","Heron Bommie (SS)",2015,"HCB",15
"Heron Bommie","SS","Heron Bommie (SS)",2015,"NL",28
"Heron Bommie","SS","Heron Bommie (SS)",2015,"RKC",6
"Heron Bommie","SS","Heron Bommie (SS)",2015,"SC",8
"Heron Bommie","SS","Heron Bommie (SS)",2016,"HC",74
"Heron Bommie","SS","Heron Bommie (SS)",2016,"HCB",1
"Heron Bommie","SS","Heron Bommie (SS)",2016,"NL",69
"Heron Bommie","SS","Heron Bommie (SS)",2016,"OT",7
"Heron Bommie","SS","Heron Bommie (SS)",2016,"SC",9
"Heron Bommie","SS","Heron Bommie (SS)",2017,"HC",85
"Heron Bommie","SS","Heron Bommie (SS)",2017,"HCB",1
"Heron Bommie","SS","Heron Bommie (SS)",2017,"NL",57
"Heron Bommie","SS","Heron Bommie (SS)",2017,"OT",13
"Heron Bommie","SS","Heron Bommie (SS)",2017,"RKC",2
"Heron Bommie","SS","Heron Bommie (SS)",2017,"SC",1
"Heron Bommie","SS","Heron Bommie (SS)",2017,"SP",1
"Heron Bommie","SS","Heron Bommie (SS)",2018,"HC",106
"Heron Bommie","SS","Heron Bommie (SS)",2018,"NL",43
"Heron Bommie","SS","Heron Bommie (SS)",2018,"OT",2
"Heron Bommie","SS","Heron Bommie (SS)",2018,"SC",9
"Heron Bommie","SS","Heron Bommie (SS)",2019,"HC",69
"Heron Bommie","SS","Heron Bommie (SS)",2019,"NIA",1
"Heron Bommie","SS","Heron Bommie (SS)",2019,"NL",86
"Heron Bommie","SS","Heron Bommie (SS)",2019,"OT",3
"Heron Bommie","SS","Heron Bommie (SS)",2019,"RKC",1
"Heron Bommie","SS","Heron Bommie (SS)",2020,"HC",97
"Heron Bommie","SS","Heron Bommie (SS)",2020,"NL",57
"Heron Bommie","SS","Heron Bommie (SS)",2020,"SC",6
"Heron Bommie","SS","Heron Bommie (SS)",2021,"HC",75
"Heron Bommie","SS","Heron Bommie (SS)",2021,"NIA",1
"Heron Bommie","SS","Heron Bommie (SS)",2021,"NL",63
"Heron Bommie","SS","Heron Bommie (SS)",2021,"OT",16
"Heron Bommie","SS","Heron Bommie (SS)",2021,"SC",4
"Heron Bommie","SS","Heron Bommie (SS)",2021,"SP",1
"Heron Bommie","SS","Heron Bommie (SS)",2022,"HC",88
"Heron Bommie","SS","Heron Bommie (SS)",2022,"HCB",2
"Heron Bommie","SS","Heron Bommie (SS)",2022,"NL",63
"Heron Bommie","SS","Heron Bommie (SS)",2022,"OT",2
"Heron Bommie","SS","Heron Bommie (SS)",2022,"SC",5
"Heron Bommie","SS","Heron Bommie (SS)",2023,"HC",115
"Heron Bommie","SS","Heron Bommie (SS)",2023,"NL",35
"Heron Bommie","SS","Heron Bommie (SS)",2023,"OT",6
"Heron Bommie","SS","Heron Bommie (SS)",2023,"SC",4
"Heron Bommie","SS","Heron Bommie (SS)",2024,"HC",51
"Heron Bommie","SS","Heron Bommie (SS)",2024,"NIA",2
"Heron Bommie","SS","Heron Bommie (SS)",2024,"NL",91
"Heron Bommie","SS","Heron Bommie (SS)",2024,"OT",9
"Heron Bommie","SS","Heron Bommie (SS)",2024,"RKC",4
"Heron Bommie","SS","Heron Bommie (SS)",2024,"SC",3
